,pinyin,MC (B&S),GSR,漢語大字典,廣韻,
釜,fu3,bjuX,0102f,32039.080,262.23,6
輔,fu3,bjuX,0102v,53533.030,262.11,6
鬴,fu3,bjuX,0102y,74588.160,262.22,6
腐,fu3,bjuX,0136n,52933.030,262.14,6
撫,fu3,phjuX,0103p,31958.060,262.25,6
弣,fu3,phjuX,0136f,20993.020,262.27,6
拊,fu3,phjuX,0136g,31854.020,262.29,6
簠,fu3,pju,0102u,53013.220,079.44 260.24 365.34,20
簠,fu3,pjuH,0102u,53013.220,079.44 260.24 365.34,20
鈇,fu3,pjuX,0101e,64174.050,079.38,6
父,fu3,pjuX,0102a,32039.010,261.07 262.10,13
斧,fu3,pjuX,0102h,32023.100,260.19,6
甫,fu3,pjuX,0102n,10020.010,260.17,6
脯,fu3,pjuX,0102r,32076.030,260.18,6
莆,fu3,pjuX,0102s,53215.080,261.03,6
黼,fu3,pjuX,0102t,74738.050,261.01,6
簠,fu3,pjuX,0102u,53013.220,079.44 260.24 365.34,20
府,fu3,pjuX,0136c,20877.150,260.22,6
俯,fu3,pjuX,0136r,10182.090,260.21,6
傅,fu4,bjuH,0102u',10201.050,366.17,6
賻,fu4,bjuH,0102x',63654.080,364.22,6
坿,fu4,bjuH,0136i,10432.100,078.16 364.20,13
祔,fu4,bjuH,0136j,42394.020,364.21,6
附,fu4,bjuH,0136k,64122.020,364.19,6
駙,fu4,bjuH,0136l,74548.080,364.23,6
胕,fu4,bjuH,0136o,32061.040,364.29,6
蚹,fu4,bjuH,0136p,42844.010,364.26,6
鮒,fu4,bjuH,0136q,74682.030,364.24,6
復,fu4,bjuwH,1034d,20834.020,436.44 453.22,13
复,fu4,bjuwk,1034a,20869.060,453.44,6
復,fu4,bjuwk,1034d,20834.020,436.44 453.22,13
輹,fu4,bjuwk,1034g,53545.060,453.16 453.31,13
服,fu4,bjuwX,0934d,32053.070,453.24,6
負,fu4,bjuwX,1000a,63623.040,322.37,6
偩,fu4,bjuwX,1000b,10193.090,322.43,6
萯,fu4,bjuwX,1000c,53253.070,322.38,6
婦,fu4,bjuwX,1001a,21062.060,322.35,6
阜,fu4,bjuwX,1108a,64114.010,322.40,6
父,fu4,bjuX,0102a,32039.010,261.07 262.10,13
柎,fu4,bjuX,0136d,21185.010,079.47,6
副,fu4,phik,0933s,10347.160,435.46 458.02 528.36,20
訃,fu4,phjuH,1210h,63938.050,365.35,6
赴,fu4,phjuH,1210i,53474.040,365.29,6
副,fu4,phjuwH,0933s,10347.160,435.46 458.02 528.36,20
覆,fu4,phjuwH,1034m,42808.090,435.49 436.50 457.45 531.05,27
蝮,fu4,phjuwk,1034j,42871.030,457.44,6
覆,fu4,phjuwk,1034m,42808.090,435.49 436.50 457.45 531.05,27
傅,fu4,pjuH,0102u',10201.050,366.17,6
賦,fu4,pjuH,0104g,63644.040,366.16,6
付,fu4,pjuH,0136a,10112.050,366.15,6
富,fu4,pjuwH,0933r,20942.040,435.56,6
腹,fu4,pjuwk,1034h,32097.010,453.05,6
複,fu4,pjuwk,1034i,53103.080,436.51 453.06,13
嗄,ga1,'eajH,1236c,10666.090,387.11 424.16,13
侅,gai1,koj,0937j,10153.010,099.02 099.39 271.25 274.23,27
垓,gai1,koj,0937k,10441.130,099.28,6
姟,gai1,koj,0937l,21047.090,099.34,6
晐,gai1,koj,0937m,21509.020,099.36,6
絯,gai1,koj,0937n,53398.040,099.35 271.24,13
胲,gai1,koj,0937o,32071.030,099.42,6
該,gai1,koj,0937p,63970.070,099.26,6
賅,gai1,koj,0937q,63641.020,099.40,6
陔,gai1,koj,0937r,64128.030,099.33,6
侅,gai1,ngojH,0937j,10153.010,099.02 099.39 271.25 274.23,27
裓,gai1?,koj,0990f,53093.020,531.01,6
改,gai3,kojX,0936a,21450.010,274.19,6
匃,gai4,kajH,0313a,10257.030,380.03,6
蓋,gai4,kajH,0642q,53260.130,380.02 536.54 537.73,20
葢,gai4,kajH,0642r,53245.140,,0
匃,gai4,kat,0313a,10257.030,380.03,6
摡,gai4,kojH,0515i,31947.110,361.32 390.18,13
㮣,gai4,kojH,0515j,21257.010,390.17,6
概,gai4,kojH,0515k,21256.080,,0
溉,gai4,kojH,0515l,31689.050,361.04 390.16,13
甘,gan1,kam,0606a,42413.010,223.39,6
泔,gan1,kam,0606c,31580.010,224.04,6
𤯌,gan1,kam,0606d,42414.160,,0
干,gan1,kan,0139a,10405.050,122.37,6
奸,gan1,kan,0139c,21025.010,122.42,6
姧,gan1,kan,0139d,21048.080,,0
忓,gan1,kan,0139e,42271.040,123.08 400.38,13
玕,gan1,kan,0139g,21101.150,123.02,6
矸,gan1,kan,0139i,42417.100,284.39 400.40 401.34,20
竿,gan1,kan,0139k,52948.020,122.40,6
肝,gan1,kan,0139l,32044.030,122.41,6
釬,gan1,kan,0139y,64170.090,400.26,6
乾,gan1,kan,0140c,10056.100,122.38 142.27,13
敢,gan3,kamX,0607a,21463.090,332.21,6
笴,gan3,kanX,0001e,52953.130,284.30 304.04,13
皯,gan3,kanX,0139h,42753.040,284.32,6
秆,gan3,kanX,0139j,42591.010,284.36,6
簳,gan3,kanX,0140k,53020.060,284.31,6
感,gan3,komX,0671l,42321.020,330.08,6
旰,gan4,kanH,0139f,21486.070,401.24,6
倝,gan4,kanH,0140a,10169.040,401.26,6
幹,gan4,kanH,0140d,10409.090,401.27,6
榦,gan4,kanH,0140e,21261.100,401.25,6
个,gan4,kanH,0349a,10103.010,419.08,6
紺,gan4,kom,0606k,53378.120,441.40,6
贛,gan4,komH,,63661.190,330.14 342.07 441.44,20
缸,gang1,haewng,,52935.050,039.36,6
杠,gang1,kaewng,1172u,21157.010,038.32,6
矼,gang1,kaewng,1172x,42417.110,038.35,6
岡,gang1,kang,0697a,10100.140,180.12,6
剛,gang1,kang,0697b,10344.100,180.14,6
綱,gang1,kang,0697e,53414.050,180.19,6
犅,gang1,kang,0697f,31813.050,180.21,6
鋼,gang1,kang,0697h,64220.050,180.18 428.43,13
亢,gang1,kang,0698a,10280.010,180.20 428.10,13
鋼,gang1,kangH,0697h,64220.050,180.18 428.43,13
鋼,gang4,kangH,0697h,64220.050,180.18 428.43,13
皐,gao1,kaw,1040a,42648.150,155.11,6
皋,gao1,kaw,1040b,42647.150,155.12,6
槹,gao1,kaw,1040c,21280.140,,0
咎,gao1,kaw,1068a,10607.060,155.17 323.30,13
𣓌,gao1,kaw,1068c,21236.060,155.26 302.55,13
鼛,gao1,kaw,1068e,74765.160,155.18,6
櫜,gao1,kaw,1068f,21312.130,155.16,6
高,gao1,kaw,1129a,74593.010,155.09,6
膏,gao1,kaw,1129i,32103.080,155.10 417.31,13
羔,gao1,kaw,1244a,53128.050,155.13,6
膏,gao1,kawH,1129i,32103.080,155.10 417.31,13
晧,gao3,kawX,1039i,21513.010,301.11,6
𣓌,gao3,kawX,1068c,21236.060,155.26 302.55,13
暠,gao3,kawX,1129e,21530.160,302.54,6
稾,gao3,kawX,1129f,42625.070,302.57 418.51,13
藁,gao3,kawX,1129g,53315.050,303.01,6
縞,gao3,kawX,1129h,53438.070,303.03 417.30,13
槁,gao3,kawX,1129j,21267.080,303.46,6
槀,gao3,kawX,1129k,21267.090,303.04,6
杲,gao3,kawX,1244c,21169.020,302.56,6
槁,gao3,khawX,1129j,21267.080,303.46,6
告,gao4,kawH,1039a,10589.120,417.29 460.36,13
誥,gao4,kawH,1039e,63976.170,417.27,6
郜,gao4,kawH,1039f,63774.060,417.28 460.37,13
告,gao4,kowk,1039a,10589.120,417.29 460.36,13
郜,gao4,kowk,1039f,63774.060,417.28 460.37,13
哥,ge1,ka,0001p,10624.190,159.10,6
歌,ge1,ka,0001q,32147.120,159.01,6
謌,ge1,ka,0001r,64005.040,159.02,6
袼,ge1,kaek,0766e,53089.120,505.46 506.28,13
胳,ge1,kak,0766d,32070.040,506.27,6
袼,ge1,kak,0766e,53089.120,505.46 506.28,13
割,ge1,kat,0314d,10351.070,484.27,6
鴿,ge1,kop,,74630.150,534.23,6
戈,ge1,kwa,0007a,21397.010,161.38,6
圪,ge1,xj+t,0517n,10419.090,472.38 477.17,13
觡,ge2,kaek,0766b',63925.050,512.13,6
骼,ge2,kaek,0766c',74411.100,512.12,6
胳,ge2,kaek,0766d,32070.040,506.27,6
𢓜,ge2,kaek,0766x,20820.010,512.10,6
格,ge2,kaek,0766z,21203.060,506.26 512.09,13
骼,ge2,kak,0766c',74411.100,512.12,6
閣,ge2,kak,0766f,74298.020,506.25,6
葛,ge2,kat,0313i,53248.030,484.24,6
鬲,ge2,keak,0855a,74587.010,515.16 521.06,13
搹,ge2,keak,0855d,31930.040,515.15,6
膈,ge2,keak,0855e,32101.050,515.14,6
隔,ge2,keak,0855f,64149.120,515.13,6
革,ge2,keak,0931a,74325.010,515.18,6
愅,ge2,keak,0931c,42326.030,,0
韐,ge2,keap,0675j,74505.180,534.39 543.26,13
鞈,ge2,keap,0675l,74334.150,534.38 543.37,13
骼,ge2,khaeH,0766c',74411.100,512.12,6
裓,ge2,kok,0990f,53093.020,531.01,6
蛤,ge2,kop,0675h,42850.130,534.28,6
閤,ge2,kop,0675i,74297.070,534.22,6
韐,ge2,kop,0675j,74505.180,534.39 543.26,13
笴,ge3,kaX,0001e,52953.130,284.30 304.04,13
哿,ge3,kaX,0015i,10635.040,304.02,6
箇,ge4,kaH,0049f',52983.010,419.07,6
个,ge4,kaH,0349a,10103.010,419.08,6
各,ge4,kak,0766a,10583.010,506.24,6
根,gen1,kon,0416b,21208.020,120.26,6
亘,gen4,kongH,0164a,10017.160,433.44,6
亙,gen4,kongH,0881a,10019.050,,0
艮,gen4,konH,0416a,53170.010,400.13,6
更,geng1,kaeng,0745a,10020.020,184.01 429.12,13
庚,geng1,kaeng,0746a,20879.060,183.43,6
賡,geng1,kaeng,0746g,63650.080,184.06,6
羹,geng1,kaeng,0747a,53139.130,184.07,6
賡,geng1,kaengH,0746g,63650.080,184.06,6
耕,geng1,keang,0808a,42770.100,187.39,6
絚,geng1,kong,0881f,53392.050,,0
哽,geng3,kaengX,0745c,10626.090,315.45,6
鯁,geng3,kaengX,0745d,74690.080,315.48,6
梗,geng3,kaengX,0745e,21210.120,315.43,6
綆,geng3,kaengX,0745f,53401.090,315.47,6
耿,geng3,keangX,0809a,42785.120,317.25,6
更,geng4,kaengH,0745a,10020.020,184.01 429.12,13
緪,geng4,kongH,0881g,53431.030,202.16,6
𡍷,geng4,kongH,0881h,10467.040,,0
供,gong1,kjowng,1182f,10144.040,038.02 345.01,13
恭,gong1,kjowng,1182l,42299.090,037.55,6
弓,gong1,kjuwng,0901a,20987.110,025.40,6
宮,gong1,kjuwng,1006a,20936.041,025.44,6
躳,gong1,kjuwng,1006e,63810.120,025.41,6
躬,gong1,kjuwng,1006f,63808.080,025.42,6
龏,gong1,kjuwng,1182g,74804.030,345.02 467.08,13
龔,gong1,kjuwng,1182k,74805.120,038.01,6
工,gong1,kuwng,1172a,10410.060,029.02,6
功,gong1,kuwng,1172d,10365.080,029.01,6
攻,gong1,kuwng,1172e,21449.060,029.08 033.33,13
公,gong1,kuwng,1173a,10242.010,027.39,6
恭,gong1,kuwng,1182l,42299.090,037.55,6
觥,gong1,kwaeng,0706i,63924.030,184.53,6
觵,gong1,kwaeng,0707l,63931.240,184.52,6
厷,gong1,kwong,0887b,10384.040,,0
肱,gong1,kwong,0887f,32047.080,201.46,6
拲,gong3,kjowk,1182m,31863.040,239.09 461.36,13
鞏,gong3,kjowngX,1172c',74333.040,239.11,6
𢀜,gong3,kjowngX,1172p,10413.010,,0
廾,gong3,kjowngX,1182a,10513.110,239.15,6
𠬞,gong3,kjowngX,1182b,10393.040,,0
拱,gong3,kjowngX,1182e,31867.020,239.08,6
拲,gong3,kjowngX,1182m,31863.040,239.09 461.36,13
輁,gong3,kjowngX,1182n,53528.030,037.41 239.25,13
共,gong4,gjowngH,1182c,10243.020,038.05 344.36,13
供,gong4,kjowngH,1182f,10144.040,038.02 345.01,13
貢,gong4,kuwngH,1172g,63624.050,342.06,6
句,gou1,kuw,0108a,10571.030,074.51 215.10 364.47 439.32,27
鉤,gou1,kuw,0108c,64188.060,214.42,6
拘,gou1,kuw,0108p,31856.010,080.18,6
溝,gou1,kuw,0109h,31692.060,214.44,6
篝,gou1,kuw,0109i,52997.030,215.02,6
狗,gou3,kuwX,0108d,21341.050,326.18,6
笱,gou3,kuwX,0108e,52958.090,326.20,6
耇,gou3,kuwX,0108f,42781.100,326.22,6
苟,gou3,kuwX,0108h,53194.120,326.16,6
蚼,gou3,xuwX,0108n,42844.120,075.04 327.06,13
訽,gou4,huwH,0108m,63956.050,437.32 440.10,13
詬,gou4,khuwH,0112f,63966.070,326.23 438.03 440.09,20
雊,gou4,kuwH,0108i,64097.060,439.29,6
冓,gou4,kuwH,0109a,10100.170,215.08 439.39,13
媾,gou4,kuwH,0109e,21070.090,439.24,6
搆,gou4,kuwH,0109f,31928.070,439.35,6
構,gou4,kuwH,0109g,21259.070,439.23,6
覯,gou4,kuwH,0109j,63672.050,439.25,6
購,gou4,kuwH,0109k,63654.020,439.27,6
遘,gou4,kuwH,0109l,63869.050,439.22,6
姤,gou4,kuwH,0112e,21045.160,439.26,6
㝅,gou4,kuwH,1226m,32161.080,326.37 439.40,13
彀,gou4,kuwH,1226p,32161.090,439.30,6
垢,gou4,kuwX,0112d,10440.010,326.19,6
詬,gou4,kuwX,0112f,63966.070,326.23 438.03 440.09,20
訽,gou4,xuwH,0108m,63956.050,437.32 440.10,13
訽,gou4,xuwX,0108m,63956.050,437.32 440.10,13
酤,gu1,huX,0049b',63578.010,082.10 267.36 368.30,20
橭,gu1,khu,0049g',21288.160,082.15 085.49,13
呱,gu1,ku,0041b,10604.100,082.08,6
孤,gu1,ku,0041c,21014.010,082.01,6
罛,gu1,ku,0041d,42916.060,082.24,6
苽,gu1,ku,0041e,53194.020,082.02,6
觚,gu1,ku,0041f,63923.070,082.11,6
軱,gu1,ku,0041g,53522.070,082.25,6
姑,gu1,ku,0049g,21035.040,082.06,6
橭,gu1,ku,0049g',21288.160,082.15 085.49,13
沽,gu1,ku,0049k,31581.020,082.17 266.11 368.31,20
蛄,gu1,ku,0049o,42842.010,082.12,6
辜,gu1,ku,0049p,64036.070,082.07,6
菇,gu1,ku,,53242.080,,0
服,gu2,bjuwk,0934d,32053.070,453.24,6
鶻,gu2,kwot,0486b,74646.070,480.02 482.49 488.28,20
淈,gu3,hwot,0496o,31664.080,480.06 482.42,13
鵠,gu3,kowk,1039n,74635.070,460.16,6
谷,gu3,kuwk,1202a,63902.010,449.35 451.16 462.35,20
榖,gu3,kuwk,1226h,32163.030,449.33,6
穀,gu3,kuwk,1226i,32164.110,449.30,6
轂,gu3,kuwk,1226j,32166.190,449.32,6
賈,gu3,kuX,0038b,63637.070,266.09 308.12 421.42,20
古,gu3,kuX,0049a,10568.030,265.39,6
罟,gu3,kuX,0049m,42915.100,265.45,6
盬,gu3,kuX,0049q,42572.040,082.22 266.03,13
䀇,gu3,kuX,0049r,42569.070,,0
苦,gu3,kuX,0049u,53186.020,267.09 370.05,13
鼓,gu3,kuX,0050a,74763.010,265.41,6
鼔,gu3,kuX,0050b,74764.010,,0
瞽,gu3,kuX,0050g,42516.030,265.42,6
股,gu3,kuX,0051a,32051.070,265.43,6
羖,gu3,kuX,0051b,53128.030,266.05,6
蠱,gu3,kuX,0052a,42906.090,266.01,6
牯,gu3,kuX,,31806.100,266.08,6
汩,gu3,kwot,0304f,31565.010,471.53,6
骨,gu3,kwot,0486a,74406.010,479.49,6
淈,gu3,kwot,0496o,31664.080,480.06 482.42,13
梏,gu4,kowk,1039k,21215.080,460.32 464.15,13
牿,gu4,kowk,1039l,31810.170,460.33,6
錮,gu4,kuH,0049e',64219.060,368.34,6
固,gu4,kuH,0049f,10716.090,368.33,6
故,gu4,kuH,0049i,21453.050,368.29,6
雇,gu4,kuH,0053d,64096.020,267.27 368.27,13
顧,gu4,kuH,0053g,74392.110,368.25,6
騧,gua1,kwae,0018b,74562.010,093.20 166.05,13
瓜,gua1,kwae,0041a,42654.010,166.04,6
刮,gua1,kwaet,0302n,10335.030,490.36,6
懖,gua1,kwat,0302p,42363.120,486.09,6
騧,gua1,kwea,0018b,74562.010,093.20 166.05,13
劀,gua1,kweat,0507k,10357.010,489.05 490.38,13
寡,gua3,kwaeX,0042a,20947.070,309.24,6
卦,gua4,kweaH,0879s,10094.050,383.26,6
挂,gua4,kweaH,0879t,31865.050,383.27,6
掛,gua4,kweaH,0879u,31890.130,383.28,6
絓,gua4,kweaH,0879v,53390.020,093.26 383.50,13
乖,guai1,kweajH,1240h,10038.180,094.44,6
夬,guai4,kwaejH,0312a,10051.110,386.33,6
怪,guai4,kweajH,0991a,42288.120,384.35,6
夬,guai4,kwet,0312a,10051.110,386.33,6
關,guan1,'waen,0187b,74316.100,127.24,6
關,guan1,kwaen,0187b,74316.100,127.24,6
倌,guan1,kwaenH,0157l,10184.040,125.19 405.41,13
官,guan1,kwan,0157a,20921.040,125.11,6
棺,guan1,kwan,0157e,21238.090,125.14 403.22,13
倌,guan1,kwan,0157l,10184.040,125.19 405.41,13
觀,guan1,kwan,0158i,63677.050,125.15 403.17,13
冠,guan1,kwan,0160a,10303.180,125.17 403.16,13
莞,guan1,kwan,0257q,53225.050,123.49 125.13 287.01,20
鰥,guan1,kwean,0481a,74706.090,129.06 406.23,13
瘝,guan1,kwean,0481c,42689.010,,0
館,guan3,kwanH,0157k,74461.130,403.01,6
斡,guan3,kwanX,0140l,32255.070,486.42,6
痯,guan3,kwanX,0157g,42682.110,285.39 403.05,13
管,guan3,kwanX,0157h,52986.050,285.33,6
琯,guan3,kwanX,0157i,21123.130,285.38 399.37,13
錧,guan3,kwanX,0157j,64225.030,285.42 403.13,13
筦,guan3,kwanX,0257r,52975.160,285.34,6
貫,guan4,kwaenH,0159a,63628.150,125.16 402.51,13
摜,guan4,kwaenH,0159c,31951.020,405.40,6
慣,guan4,kwaenH,0159d,42349.010,405.38,6
串,guan4,kwaenH,0159e,10030.020,405.42,6
丱,guan4,kwaenH,0187a,10052.120,405.39,6
貫,guan4,kwan,0159a,63628.150,125.16 402.51,13
棺,guan4,kwanH,0157e,21238.090,125.14 403.22,13
涫,guan4,kwanH,0157f,31662.010,125.18 403.18,13
錧,guan4,kwanH,0157j,64225.030,285.42 403.13,13
雚,guan4,kwanH,0158a,64104.020,403.07,6
鸛,guan4,kwanH,0158e,74670.220,403.08,6
灌,guan4,kwanH,0158f,31786.130,403.06,6
爟,guan4,kwanH,0158g,32248.050,403.14,6
瓘,guan4,kwanH,0158h,21145.260,403.02,6
觀,guan4,kwanH,0158i,63677.050,125.15 403.17,13
貫,guan4,kwanH,0159a,63628.150,125.16 402.51,13
冠,guan4,kwanH,0160a,10303.180,125.17 403.16,13
盥,guan4,kwanH,0161a,42570.030,285.37 403.21,13
祼,guan4,kwanH,0351m,42402.030,402.53,6
盥,guan4,kwanX,0161a,42570.030,285.37 403.21,13
侊,guang1,kwaeng,0706h,10147.090,182.02 184.54,13
光,guang1,kwang,0706a,10266.070,181.45 428.42,13
洸,guang1,kwang,0706f,31606.050,181.47 182.24,13
侊,guang1,kwang,0706h,10147.090,182.02 184.54,13
迋,guang3,kjwangX,0739l,63818.020,313.21 426.43,13
獷,guang3,kwaengX,0707s,21374.080,312.09 317.08,13
廣,guang3,kwangH,0707h,20897.040,313.43,6
廣,guang3,kwangX,0707h,20897.040,313.43,6
迋,guang4,gjwangX,0739l,63818.020,313.21 426.43,13
俇,guang4,gjwangX,0739y,10164.060,313.19,6
迋,guang4,kjwangH,0739l,63818.020,313.21 426.43,13
橫,guang4?,kwangH,0707m,21288.041,181.53 184.25 429.24,20
鮭,gui1,hwae,0879g,74684.100,091.48 092.15 093.01,20
巂,gui1,hwej,0880a,10804.210,092.31,6
龜,gui1,kjuw,0985a,74809.040,055.25 208.21,13
歸,gui1,kjw+j,0570a,21446.150,066.10,6
嬀,gui1,kjwe,0027g,21082.061,,0
規,gui1,kjwie,0875a,63664.170,050.16,6
圭,gui1,kwej,0879a,10418.050,091.42,6
珪,gui1,kwej,0879c,21109.110,091.43,6
閨,gui1,kwej,0879e,74294.070,091.45,6
窐,gui1,kwej,0879f,42727.080,091.47 092.26,13
鮭,gui1,kwej,0879g,74684.100,091.48 092.15 093.01,20
龜,gui1,kwij,0985a,74809.040,055.25 208.21,13
傀,gui1,kwoj,0569d,10192.080,097.02 272.55,13
瑰,gui1,kwoj,0569e,21127.060,096.32 097.05,13
瓌,gui1,kwoj,0600e,21145.190,097.06,6
鬼,gui3,kjw+jX,0569a,74427.010,255.36,6
詭,gui3,kjweX,0029b,63968.010,242.07,6
佹,gui3,kjweX,0029c,10151.020,242.25,6
垝,gui3,kjweX,0029d,10441.020,242.08 346.43,13
恑,gui3,kjweX,0029e,42297.070,242.14,6
癸,gui3,kjwijX,0605a,42760.040,249.31,6
簋,gui3,kwijX,0986a,53011.170,248.17,6
𣪘,gui3,kwijX,0987a,32159.110,,0
宄,gui3,kwijX,0992f,20910.040,248.22,6
氿,gui3,kwijX,0992j,31549.030,248.26,6
軌,gui3,kwijX,0992k,53512.040,248.16,6
匭,gui3,kwijX,0992l,10087.080,248.23,6
跪,gui4,gjweX,0029f,63704.030,242.05 246.50,13
匱,gui4,gwijH,0540g,10089.140,351.33,6
櫃,gui4,gwijH,0540h,21307.070,351.39,6
鞼,gui4,gwijH,0540k,74350.060,097.07 351.41,13
跪,gui4,khjweX,0029f,63704.030,242.05 246.50,13
貴,gui4,kjw+jH,0540b,63632.090,358.51,6
蹶,gui4,kjwejH,0301g,63738.090,377.06 478.18 500.25,20
撅,gui4,kjwejH,0301i,31955.010,478.31 478.42,13
嶡,gui4,kjwejH,0301l,10797.050,,0
劌,gui4,kjwejH,0346k,10357.130,377.02,6
襘,gui4,kwajH,0321h,53118.070,381.29 381.39,13
檜,gui4,kwajH,0321i,21303.040,381.41 485.56,13
禬,gui4,kwajH,0321j,42410.010,381.40,6
桂,gui4,kwejH,0879d,21193.050,373.58,6
媿,gui4,kwijH,0569n,21067.030,352.12,6
鯀,gun3,kwon,0419a,74692.160,282.54,6
鮌,gun3,kwonX,0366l,74683.060,,0
䃂,gun3,kwonX,0417e,42437.080,283.02,6
緄,gun3,kwonX,0417f,53413.060,282.53,6
輥,gun3,kwonX,0417g,53539.040,282.55,6
混,gun3,kwonX,0417k,31648.090,282.01,6
衮,gun3,kwonX,0418a,53077.050,,0
袞,gun3,kwonX,0418b,53080.150,282.52 365.19,13
蔉,gun3,kwonX,0418e,53283.090,282.57,6
舌,guo?,kwat,0302f,52941.010,490.45 497.46,13
過,guo1,kwa,0018e,63849.080,161.39 420.06,13
𩰬,guo1,kwa,0352a,74587.020,162.08,6
郭,guo1,kwak,0774a,63780.070,509.12,6
聒,guo1,kwat,0302j,42788.100,485.58,6
活,guo1,kwat,0302m,31609.020,485.53 486.18,13
蟈,guo1,kweak,0929t,42885.060,513.32,6
虢,guo2,kwaek,0783a,42828.070,512.44,6
膕,guo2,kweak,0929s,32107.090,513.36,6
馘,guo2,kweak,0929u,74501.210,513.33,6
聝,guo2,kweak,0929v,42790.130,513.34,6
國,guo2,kwok,0929o,10720.090,530.39,6
檜,guo2?,kwat,0321i,21303.040,381.41 485.56,13
果,guo3,khwaX,0351a,21168.110,305.14,6
椁,guo3,kwak,0774e,21236.110,509.16,6
槨,guo3,kwak,0774f,21268.010,509.17,6
果,guo3,kwaX,0351a,21168.110,305.14,6
蜾,guo3,kwaX,0351c,42862.010,305.21,6
裹,guo3,kwaX,0351d,53096.030,305.20 420.07,13
過,guo4,kwaH,0018e,63849.080,161.39 420.06,13
蝦,ha2,hae,0033i,42874.030,167.04,6
咍,hai1,xoj,1240a,10610.070,098.52,6
骸,hai2,heaj,0937z,74412.010,094.31,6
𧽊,hai2,hoj,0548g,53496.120,,0
咳,hai2,hoj,0937g,10622.040,100.50,6
孩,hai2,hoj,0937h,21015.110,100.49,6
海,hai3,xojX,0947x,31627.010,273.37,6
醢,hai3,xojX,0995n,63593.040,273.38,6
害,hai4,hajH,0314a,20929.050,380.31,6
駴,hai4,heajH,0990e,74556.090,271.26,6
絯,hai4,heajX,0937n,53398.040,099.35 271.24,13
駭,hai4,heajX,0937y,74555.050,271.23,6
㤥,hai4,hojH,0937i,42298.100,390.45,6
亥,hai4,hojX,0937a,10283.050,274.22,6
酣,han1,ham,0606g,63577.090,224.43,6
虷,han2,han,0139u,42834.050,121.06,6
邗,han2,han,0139v,63754.050,121.05 123.03,13
𩏑,han2,han,0140h,74509.040,120.38,6
韓,han2,han,0140i,74506.210,,0
寒,han2,han,0143a,20941.060,120.37,6
圅,han2,heam,0643a,10720.050,222.23,6
圅,han2,hom,0643a,10720.050,222.23,6
函,han2,hom,0643b,10309.090,222.13 229.29,13
涵,han2,hom,0643g,31665.040,222.08 331.48,13
含,han2,hom,0651l',10592.010,222.07,6
唅,han2,hom,0651m',10632.040,223.14 441.48,13
含,han2,homH,0651l',10592.010,222.07,6
闞,han3,xamX,0607d,74316.060,337.03 442.36 445.52,20
嚂,han3,xamX,0609m,10695.170,333.14 442.39 442.49,20
罕,han3,xanX,0139f',42913.090,,0
鶾,han4,han,0140j,74649.150,121.03,6
馯,han4,hanH,0139b',74541.020,128.45 400.35,13
悍,han4,hanH,0139h',42304.020,400.28,6
捍,han4,hanH,0139i',31881.050,286.53 400.20,13
扞,han4,hanH,0139q,31828.060,400.21,6
汗,han4,hanH,0139t,31550.060,121.07 123.04 400.27,20
釬,han4,hanH,0139y,64170.090,400.26,6
閈,han4,hanH,0139z,74283.060,400.30,6
翰,han4,hanH,0140f,53353.080,121.02 400.19,13
旱,han4,hanX,0139s,21486.080,283.38,6
憾,han4,homH,0671p,42360.120,441.45,6
菡,han4,homX,0643h,53242.070,331.45,6
頷,han4,homX,0651n',74375.130,222.17 331.40,13
淊,han4,homX,0672g,31656.070,230.07 331.44 333.28 445.15,27
竷,han4,homX,,42716.240,331.38 441.38,13
睅,han4,hwaenX,0139j',42490.110,286.56,6
頷,han4,ngomX,0651n',74375.130,222.17 331.40,13
熯,han4,nyenX,0144b,32227.120,285.03 292.24 401.53,20
暵,han4,xanH,0144a,21532.120,285.01 401.51,13
漢,han4,xanH,0144c,31713.090,401.50,6
厂,han4,xanH,0145a,10067.160,284.51 401.58,13
暵,han4,xanX,0144a,21532.120,285.01 401.51,13
熯,han4,xanX,0144b,32227.120,285.03 292.24 401.53,20
檻,han4?,hamX,0609g,21307.140,337.16,6
杭,hang2,hang,0698e,21174.030,182.48,6
頏,hang2,hang,0698g,74363.030,182.43 428.16,13
行,hang2,hang,0748a,20811.060,182.40 187.23 427.22 429.36,27
桁,hang2,hang,0748f,21201.090,182.39 187.30,13
行,hang4,hangH,0748a,20811.060,182.40 187.23 427.22 429.36,27
沆,hang4,hangX,0698f,31572.020,182.49 314.08,13
嚆,hao1,xaew,1129b',10688.100,,0
嚆,hao1,xaewH,1129b',10688.100,,0
茠,hao1,xaw,1070k,53205.070,156.05,6
蒿,hao1,xaw,1129q,53267.150,155.52,6
薅,hao1,xaw,1244d,53309.060,156.04,6
噑,hao2,haw,1040d,10677.090,,0
號,hao2,haw,1041q,42824.040,154.53 417.02,13
毫,hao2,haw,1129m,31999.020,154.54,6
豪,hao2,haw,1129n,63615.100,154.52,6
壕,hao2,haw,1129y,10497.050,155.02,6
譹,hao2,haw,1129z,64028.090,,0
皜,hao3,kawX,1129d,42651.020,,0
好,hao3,xawX,1044a,21028.010,303.08 419.01,13
号,hao4,hawH,1041p,10570.010,417.01,6
浩,hao4,hawX,1039j,31626.010,301.16 534.30,13
暭,hao4,hawX,1040e,21534.120,,0
